Customer_ID,Full_Name,Gender,DOB,Age,Aadhaar_No,PAN_No,Email,Phone,Address,Account_Type,Account_Balance,Monthly_Income_Bracket,Loan_Amount,Credit_Score,Transaction_Type,Transaction_Amount,Transaction_Date,Branch_ID,Spending_Category,Fraud_Flag,Risk_Category,Suspicious_Activity,Consent_Flag,Consent_Date,Data_Source
C00001,Alex Welch,Female,1958-11-18,67,475936560723,PQtVPlIcxX,gomezjohnathan@example.net,410.944.7711,"17300 Reese Rapids, New Sharon, NH 47584",Loan,652605.18,<50K,965364.56,799,Withdrawal,28519.48,2025-02-14,B003,Travel,Yes,High,No,No,,NetBanking
C00002,Jordan Torres,Male,1963-11-10,62,940388373882,VLXYPDfoLB,riosnicole@example.net,001-212-714-9953x806,"008 Elizabeth Mill Suite 027, East Marybury, NE 16801",Savings,142177.47,50K-1L,,615,Investment,43219.31,2025-03-05,B003,Shopping,Yes,Low,No,Yes,2020-04-25,Mobile Banking
C00003,Michelle Mcgee,Other,1990-02-14,35,466479844015,QJDhPJTuvh,catherine67@example.net,+1-697-318-7728x78985,"5869 Collins Glen Suite 808, Jameston, WV 05468",Current,997006.35,50K-1L,,620,Deposit,17489.0,2025-10-15,B003,Travel,Yes,Low,No,Yes,2024-10-26,Branch Visit
C00004,Kim Ali,Female,1947-11-13,78,924592548690,klFsPQClhn,brandoncalderon@example.com,001-749-769-5874,"69821 Hopkins Ranch Suite 994, Bullockborough, WA 42667",Current,522518.47,>10L,,335,Transfer,34123.46,2025-04-28,B005,Bills,No,Medium,No,Yes,2020-08-21,Credit Bureau
C00005,John Gutierrez,Male,1984-01-08,41,480818955132,aawkPKOzct,jon62@example.com,3907759495,"447 Graham Shore, North Travis, NY 22411",Loan,425941.28,5L-10L,317846.28,356,Loan EMI,23793.01,2025-02-01,B002,Shopping,No,Low,No,Yes,2021-09-13,Credit Bureau
C00006,Nancy Mcdowell,Other,1994-11-10,31,760807321618,NqEaPFpDXl,amber09@example.com,839-270-0110x061,"63716 Kristina Pike, Port Christophermouth, AL 69423",Current,76090.19,5L-10L,,458,Transfer,28107.39,2025-05-11,B005,Health,Yes,Medium,No,No,,NetBanking
C00007,Colleen Moses,Other,1989-09-13,36,364742424618,aEkmPDwAKi,tonicooke@example.org,2526089498,"1795 Fox Greens Apt. 712, Port James, NJ 85348",Current,284554.2,>10L,,363,Deposit,8141.16,2025-07-14,B001,Bills,Yes,Medium,No,Yes,2021-03-29,Mobile Banking
C00008,Robert Montgomery,Other,2004-08-23,21,960057542831,RDpMPDkhTa,rebeccagilmore@example.net,500-462-6690,"416 Webb Lock, Victorhaven, NC 19182",Credit,191538.5,1L-5L,721104.56,704,Loan EMI,8740.82,2025-05-29,B004,Investment,No,Medium,No,No,,Mobile Banking
C00009,Michael Snyder,Other,2001-11-17,24,769853991305,KGNOPSfWJE,dale38@example.org,001-701-355-7658,"8872 Maurice Heights Apt. 891, Lake Wanda, AS 63169",Credit,411509.8,>10L,939747.4,641,Deposit,10914.01,2025-05-17,B004,Shopping,No,Medium,No,Yes,2025-06-26,Mobile Banking
C00010,Dawn Rivers,Female,2007-03-11,18,382593661716,JrbhPAXQII,awhite@example.org,001-582-920-2780,"1296 Wilson Spring, Kellyberg, AK 25811",Fixed Deposit,588257.56,1L-5L,,691,Loan EMI,47196.96,2025-10-03,B002,Travel,No,High,No,No,,Credit Bureau
