Customer_ID,Full_Name,Gender,DOB,Age,Aadhaar_No,PAN_No,Email,Phone,Address,Account_Type,Account_Balance,Monthly_Income_Bracket,Loan_Amount,Credit_Score,Transaction_Type,Transaction_Amount,Transaction_Date,Branch_ID,Spending_Category,Fraud_Flag,Risk_Category,Suspicious_Activity,Consent_Flag,Consent_Date,Data_Source
,,Female,,35.329095591751226,528440463298.14404,,,,,Loan,719780.4022401664,<50K,55087.426789474324,444.00939480429906,Withdrawal,5772.48468626901,,B003,Travel,Yes,High,No,No,,NetBanking
,,Male,,67.71762198315378,648354766405.0479,,,,,Savings,532157.2973843561,50K-1L,-432377.4739093429,818.3340023360242,Investment,-5877.29785375053,,B003,Shopping,Yes,Low,No,Yes,,Mobile Banking
,,Other,,54.4651461929852,464078962291.353,,,,,Current,273348.04849187715,50K-1L,702376.6725933352,391.77174010429496,Deposit,47697.46254120736,,B003,Travel,Yes,Low,No,Yes,,Branch Visit
,,Female,,37.127821787747706,253617576082.16333,,,,,Current,-317194.71107020485,>10L,,556.7493268798656,Transfer,28004.08148232606,,B005,Bills,No,Medium,No,Yes,,Credit Bureau
,,Male,,16.108341091327723,1103535575954.5527,,,,,Loan,369689.5292824769,5L-10L,,324.422243606424,Loan EMI,48483.200155416045,,B002,Shopping,No,Low,No,Yes,,Credit Bureau
,,Other,,81.18719248247169,587703540650.0895,,,,,Current,695001.1197212408,5L-10L,,373.82756920914613,Transfer,21354.99371483091,,B005,Health,Yes,Medium,No,No,,NetBanking
,,Other,,48.82539652620063,183778344180.35236,,,,,Current,330165.13487853017,>10L,,980.255623755641,Deposit,58242.80183623851,,B001,Bills,Yes,Medium,No,Yes,,Mobile Banking
,,Other,,52.28636583967375,600996720826.3164,,,,,Credit,1013710.6858037217,1L-5L,,109.79918057498458,Loan EMI,53976.241714461605,,B004,Investment,No,Medium,No,No,,Mobile Banking
,,Other,,79.95094478844355,452251894115.2198,,,,,Credit,-232385.18621797446,>10L,1662117.832525891,359.0931692096721,Deposit,43660.4150240592,,B004,Shopping,No,Medium,No,Yes,,Mobile Banking
,,Female,,20.378011746950158,738334828400.6162,,,,,Fixed Deposit,845014.8369611414,1L-5L,,796.9034573921637,Loan EMI,17059.58728054512,,B002,Travel,No,High,No,No,,Credit Bureau
,,Female,,15.63741010968174,1153929659356.5918,,,,,Savings,506359.84479819523,<50K,1202533.9180770775,318.75889227111304,Transfer,29721.20463310433,,B002,Shopping,Yes,Medium,No,No,,Branch Visit
